store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
,1360,476 BOSTON POST RD,,NORTH WINDHAM,CT,06256,United States,860-450-1065,41.74501,-72.16918,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1406,178 MAIN ST,,STURBRIDGE,MA,01566,United States,508-347-3057,42.09671,-72.07079,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,167,461 VOLUNTOWN RD STE I,,GRISWOLD,CT,06351,United States,860-376-0131,41.59176,-71.97017,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1903,2750 HARTFORD AVE,,JOHNSTON,RI,02919,United States,401-934-1606,41.83256,-71.55688,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1762,99 WORCESTER PROVIDENCE TPKE,,MILLBURY,MA,01527,United States,508-865-5350,42.19203,-71.76926,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1219,1175 TIOGUE AVE,,COVENTRY,RI,02816,United States,401-826-2510,41.68061,-71.58368,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1414,1445 MAIN ST,,LEICESTER,MA,01524,United States,508-892-8334,42.24311,-71.925,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1664,404 TALCOTTVILLE RD,,VERNON,CT,06066,United States,860-872-0839,41.84404,-72.48609,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1731,150 NEW LONDON RD,,COLCHESTER,CT,06415,United States,860-537-0679,41.55888,-72.31985,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1494,21 COMMERCIAL LN UNIT 1,,RINDGE,NH,03461,United States,603-899-6863,42.74433,-72.03736,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1895,83 NEW ATHOL RD,,ORANGE,MA,01364,United States,978-544-3750,42.58622,-72.27121,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1559,235 NEW LANCASTER RD,,LEOMINSTER,MA,01453,United States,978-534-9620,42.49491,-71.72917,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1253,191 ELM ST UNIT 1,,MILFORD,NH,03055,United States,603-249-8910,42.83938,-71.66729,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1770,670 BRATTLEBORO RD,,HINSDALE,NH,03451,United States,603-336-5274,42.80829,-72.53015,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1512,72 NEWTON ST,,GREENFIELD,MA,01301,United States,413-772-2100,42.58321,-72.61794,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1341,30 TURKEY HILL RD,,BELCHERTOWN,MA,01007,United States,413-323-1117,42.26645,-72.41906,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1168,515 DANIEL WEBSTER HWY STE A,,MERRIMACK,NH,03054,United States,603-424-3300,42.87251,-71.48865,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1796,302 EAST HOLLY ST,,SIDNEY,MT,59270,United States,406-482-9756,47.71844,-104.1537,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1933,2808 WEST TOWNE ST,,GLENDIVE,MT,59330,United States,406-365-9665,47.09162,-104.77243,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1812,105 6TH AVE SOUTHEAST,,WATFORD CITY,ND,58854,United States,701-842-2521,47.79531,-103.28031,Sunday=12:00 PM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,147,120 26TH ST EAST STE 101,,WILLISTON,ND,58801,United States,701-572-8341,48.16743,-103.62087,Sunday=12:00 PM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1824,4544 WEST RIDGE DR,,DICKINSON,ND,58601,United States,701-483-9760,46.8945,-102.84536,Sunday=12:00 PM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1813,506 WESTVIEW LN,,STANLEY,ND,58784,United States,701-628-4890,48.30662,-102.39856,Sunday=12:00 PM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,2041,101 12TH AVE NORTHWEST,,HAZEN,ND,58545,United States,701-748-2041,47.29535,-101.64536,Sunday=12:00 PM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,130,1325 SOUTH BROADWAY,,MINOT,ND,58701,United States,701-852-6662,48.22263,-101.29537,Sunday=12:00 PM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,277,1101 BROOKSIDE LN,,BISMARCK,ND,58503,United States,701-223-8931,46.86342,-100.77401,Sunday=12:00 PM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1792,810 11TH ST EAST,,BOTTINEAU,ND,58318,United States,701-228-2961,48.81996,-100.43491,Sunday=12:00 PM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,740,20 RIVERSIDE SQ STE 1,,PRAIRIE DU CHIEN,WI,53821,United States,608-326-1080,43.02688,-91.12778,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,736,1202 NORTH MAIN ST,,VIROQUA,WI,54665,United States,608-637-8844,43.57218,-90.89067,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,146,4040 UNIVERSITY AVE,,WATERLOO,IA,50701,United States,319-232-6517,42.5061,-92.40568,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,137,4205 MAINE AVE SOUTHEAST,,ROCHESTER,MN,55904,United States,507-289-1704,43.96168,-92.45941,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,127,1905 4TH ST,,MASON CITY,IA,50401,United States,641-424-2565,43.14725,-93.23037,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,103,6622 SIXTH ST SOUTHWEST,,CEDAR RAPIDS,IA,52404,United States,319-363-2023,41.91397,-91.67709,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,759,1310 NORTH SUPERIOR AVE,,TOMAH,WI,54660,United States,608-374-5001,44.00665,-90.50718,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,779,3033 CTH CX,,PORTAGE,WI,53901,United States,608-745-0750,43.57463,-89.46833,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,194,4841 8TH ST SOUTH,,WISCONSIN RAPIDS,WI,54494,United States,715-424-0690,44.34982,-89.81597,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1246,1445 NORTH ACRES RD,,PRESCOTT,WI,54021,United States,715-262-4500,44.76251,-92.79315,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1279,1650 DENMARK RD,,UNION,MO,63084,United States,636-583-0615,38.43109,-90.96723,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,2067,40 DILLON PLAZA DR,,HIGH RIDGE,MO,63049,United States,636-376-8668,38.47728,-90.52269,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1323,170 MARKET PLACE DR,,TROY,MO,63379,United States,636-528-3711,38.98851,-90.97174,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1257,3001 HOMER ADAMS PKWY,,ALTON,IL,62002,United States,618-433-2905,38.91242,-90.14014,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1452,1570 EAST STATE RTE 15,,BELLEVILLE,IL,62221,United States,618-355-9512,38.47437,-89.93032,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,351,604 WALMART DR,,FARMINGTON,MO,63640,United States,573-756-9300,37.78858,-90.43191,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1994,20 PLAZA DR,,STE GENEVIEVE,MO,63670,United States,573-883-2189,37.96806,-90.05172,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1221,1920 NORTH BLUFF ST,,FULTON,MO,65251,United States,573-592-4884,38.86724,-91.94286,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1336,3714 CODY DR,,JEFFERSON CITY,MO,65109,United States,573-635-0206,38.52917,-92.22277,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1517,4151 PARIS RD,,COLUMBIA,MO,65202,United States,573-814-2929,38.99129,-92.28531,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,657,6396 STATE HWY 23,,ONEONTA,NY,13820,United States,607-431-9791,42.4453,-75.01071,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1390,69 MAIN ST,,DELHI,NY,13753,United States,607-746-9222,42.27573,-74.91815,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,651,125 PLAZA LN STE 2,,COBLESKILL,NY,12043,United States,518-234-1967,42.68248,-74.46979,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1646,174 DELAWARE AVE,,SIDNEY,NY,13838,United States,607-563-1009,42.29811,-75.41325,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:
