Ankara Carrefour,,Carrefoursa Shopping Center Istanbul Road 12 Km West Crossroads,,Ankara,,,Turkey,,39.947124,32.737797,,,0
Ankara Cepa Avm,,Mustafa Kemal Mah.17.Sokak.No:2 Cepa Avm Floor: 3 No: 306 Nolu Store Çankaya / Labor,,Ankara,,,Turkey,,39.910427,32.778424,,,0
Ankara Dikmen,,Dikmen Avenue 338/14 Cankaya,,Ankara,,,Turkey,,39.873122,32.833032,,,0
Ankara Forum,,Ovacik Mah.Yozgat Yolu Bulvarı Forum Avm No: 99 F Blok 55,,Ankara,,,Turkey,,40.017009,32.823399,,,0
Ankara Gordıon,,Ankarılar Cad.Gordion Çayyolu Avm Floor: 2 No: 139 Ümitbey-Yenimahalle,,Ankara,,,Turkey,,39.901002,32.691608,,,0
Ankara Hacettepe,,Hacettepe Universitesi Beytepe Campus No: 22-23 Cankaya,,Ankara,,,Turkey,,39.875978,32.750206,,,0
Ankara Airport Tav,,Ankara Tav New Domestic And International Terminal Asma Kat: 1205 -1206 Esenboğa,,Ankara,,,Turkey,,40.115189,32.993701,,,0
Ankara Carnation,,Karanfil 2. Sokak No: 30/16 Kızılay,,Ankara,,,Turkey,,39.917245,32.855311,,,0
Ankara Keçiören Ftz,,Ftz Shopping Center Fatih Cad.No: 22 Floor: 3 406 Number Keçiören,,Ankara,,,Turkey,,39.976765,32.867218,,,0
Ankara Belt,,Oddi A.V.M. Ground Floor: No C-9 Balgat,,Ankara,,,Turkey,,39.892066,32.788622,,,0
Ankara Optimum Avm,,Optimum Outlet Entertainment Center Eryaman Ayaş Yolu No: 94 Eryaman,,Ankara,,,Turkey,,39.96545,32.632035,,,0
Ankara Panora,,Turan Güneş Boulevard Panora A.V.M 187/220 Rate,,Ankara,,,Turkey,,39.848021,32.833583,,,0
Ankara Ümitköy,,2432.Cadde No: 25 Ümitköy / Çankaya,,Ankara,,,Turkey,,39.900787,32.70767,,,0
Antalya,,Hasim İşcan Mah.Fevzi Çakmak Cad.No:11,,Antalya,,,Turkey,,36.88072,30.708374,,,0
Antalya Falez,,Yüzüncü Yıl Bulvarı Migros A.V.M. No: 155 C7 C8 C9,,Antalya,,,Turkey,,36.883094,30.659239,,,0
Antalya Gima (Lara),,Şirinyalı Mah.Özgürlük Avenue Gima 2 Store Ground Floor,,Antalya,,,Turkey,,36.864189,30.728716,,,0
Antalya Airport Park (Seasonal Closed),,Antalya Airport International Flights 1.Terminal After Passport,,Antalya,,,Turkey,,36.913994,30.802799,,,0
Antalya Airport Domestic Flights,,Antalya Airport Domestic Flights,,Antalya,,,Turkey,,36.911709,30.801899,,,0
Antalya Hps (Seasonal Closed),,Antalya Airport International Flights 1.Terminal After Passport,,Antalya,,,Turkey,,36.913994,30.802799,,,0
Antalya Car Park 2,,Antalya Airport 2nd International Car Park,,Antalya,,,Turkey,,36.900803,30.803152,,,0
Antalya Ozdilek,,Fabrikalar Mah.dikili Erden Cad.Özdilek Avm No: 2 Kat: 2/221 Kepez,,Antalya,,,Turkey,,36.91035,30.678588,,,0
Antalya Real,,Real Shopping Center Murat Paşa Mah.Evliya Çelebi Cad.591.Sok.Eski Hal Mevkii,,Antalya,,,Turkey,,36.89953,30.704691,,,0
Antalya Shemall,,Fener Mah.Tekelioğlu Cad.No:3 69769A,,Antalya,,,Turkey,,36.857165,30.746178,,,0
Antares,,Ankara Antares Ayvalı Halil Sezai Erkut Cad.Afra Street Antares Avm No: 1/115 Etlik / Kecioren,,Ankara,,,Turkey,,39.970261,32.821515,,,0
Armada,,Armada Shopping Center Floor: 3 No: 184 Söğütözü,,Ankara,,,Turkey,,39.912717,32.808999,,,0
Armoni Park,,Tevfik Bey Mah.Halkalı Cd.No:132 Kat: 2 No: 80,,Istanbul Europe,,,Turkey,,41.00699,28.798205,,,0
Artvin Sarp,,Uzunyali Mah. Ataturk Bulvari Yesildere Cad. Istanbul Bazaar Avm. No : 55-56. Kemalpasa Hopa,,Artvin,,,Turkey,,41.492359,41.532598,,,0
As Center,,Bursa Ili New Yalova Road 9.Km Sönmez Holding Facilities As Merkez Shopping Center Bursa Dükkan No: 78,,Bursa,,,Turkey,,40.256092,29.062205,,,0
Ataköy Plus Avm,,Adnan Kahveci Boulevard 6th Section Ataköy Plus Avm Ataköy,,Istanbul Europe,,,Turkey,,40.982739,28.852287,,,0
Flat,,Ataşehir Boulevard 38.Ada 3/1 Bazaar Ataşehir Kadıköy,,Istanbul Asia,,,Turkey,,40.992628,29.120252,,,0
The shit,,Fatih Mah.D100 Highway End Harman Street No 42 B.Cake,,Istanbul Europe,,,Turkey,,41.021393,28.583386,,,0
Atrium,,"Ataköy 9,10 Section Atrium Business Center No: 43 Bakırköy",,Istanbul Europe,,,Turkey,,40.988646,28.845198,,,0
hunters,,Marmara Cad.No:15 Avcılar,,Istanbul Europe,,,Turkey,,40.981326,28.721897,,,0
hunters,,Marmara Street Central District 1 / B Avcılar,,Istanbul Europe,,,Turkey,,40.979651,28.72156,,,0
Aydin Forum,,Ilıcabaş Location Iron Road 19.Km No: F / 09,,Intellectual,,,Turkey,,37.845446,27.860899,,,0
Aydin Kipa,,Kipa Shopping Center Cumhuriyet Mah.Kat 2 No: Fo16,,Intellectual,,,Turkey,,37.846815,27.839618,,,0
Bagcilar,,Sancak Tepe Mah. Çarşı Cad. 10 / C Bagcilar,,Istanbul Europe,,,Turkey,,41.035478,28.856918,,,0
Bahariya,,Sakızgülü Cad.No:26 Kadıköy,,Istanbul Asia,,,Turkey,,40.987329,29.027464,,,0
Bahcelievler Yayla,,Bahçelievler District Adnan Kahveci Boulevard No 62/1 Bahçelievler,,Istanbul Europe,,,Turkey,,41.000983,28.861748,,,0
Bakırköy Tcdd,,Bakırköy Tcdd Building. Station Cd. No: 40 Bakırköy,,Istanbul Europe,,,Turkey,,40.980095,28.873729,,,0
Balçova Kipa,,İncir Altı Mah.Mithatpaşa Cad. Balçova Kipa A.V.M.No:1462 Balçova,,İzmir,,,Turkey,,38.394776,27.043089,,,0
Balikesir Yaylada,,Yaylada Balıkesir Shopping Center Gümüşçesme Mah.Bursayolu 1Km,,Balikesir,,,Turkey,,39.656975,27.906174,,,0
Dip,,Haydar Çavuş Mah. Saatçiler Cad. No: 11 Bandırma,,Balikesir,,,Turkey,,40.354324,27.97075,,,0
Başakşehir Arterium,,Başakşehir Mah. Istiklal Cad. Arterium Avm 13/1 Başakşehir,,Istanbul Europe,,,Turkey,,41.078575,28.782221,,,0
Başakşehir Olimpa,,Başakşehir Mah. Erdem Beyazıt Cad. No: 5 Başakşehir,,Istanbul Europe,,,Turkey,,41.1093,28.788612,,,0
Başakşehir Water Valley,,Başakşehir Neighborhood Ali Soylu Boulevard Waters Valley Başakşehir,,Istanbul Europe,,,Turkey,,41.103878,28.806515,,,0
Batman Worldmar Avm,,Culture Mah.Turgut Ozal Bulv.Worldmar cafeteria,,Batman,,,Turkey,,37.895997,41.129957,,,0
ensign,,Old Gölcük Yolu Outlet Center A.V.M.No:B-401,,Kocaeli,,,Turkey,,40.753755,29.946892,,,0
Bayrampaşa Carrefour,,Ferhatpaşa Farm Carrefour Avm Bo6,,Istanbul Europe,,,Turkey,,41.042692,28.890974,,,0
Besevler,,General Degol Cad. No: 53 Beşevler,,Ankara,,,Turkey,,39.932467,32.828824,,,0
Besiktas,,Barbaros Bulvarı No: 7 Besiktas,,Istanbul Europe,,,Turkey,,41.044104,29.00702,,,0
Beyazit,,Mimar Hayrettin Mah.Gedikpaşa Cad. No: 4 Beyazit,,Istanbul Europe,,,Turkey,,41.008603,28.967361,,,0
Beylikduzu Brand City,,Greater City Mh Beylikdüzü Cad. No: 42-43 Beylikdüzü,,Istanbul Europe,,,Turkey,,41.010735,28.650155,,,0
Beylikduzu Migros,,Baris Mah.E5 Yanyol Sakarya Cad.No:110/Abeylikdüzü Migros Beylikdüzü,,Istanbul Europe,,,Turkey,,41.007585,28.658353,,,0
Beylikduzu Real,,Güzelyurt Mah.Tatilya Yanı E5 Highway Buyukcekmece,,Istanbul Europe,,,Turkey,,41.010934,28.658161,,,0
Beylikduzu Skyport,,Merkez Mah.Hurriyet Boulevard No: 1 Yakuplu / Büyükçekmece,,Istanbul Europe,,,Turkey,,41.007563,28.66026,,,0
Beylikduzu Tüyap,,Cumhuriyet Mah. G-50 Sokak No 4 Büyükçekmece,,Istanbul Europe,,,Turkey,,41.026014,28.619389,,,0
Bilkent-2,,Bilkent Boulevard. Against Real. Bilkent,,Ankara,,,Turkey,,39.883515,32.758308,,,0
Bodrum Bazaar,,Çarşı Mahallesi Hilmi Uran Square No: 13 Bodrum,,Muğla,,,Turkey,,37.033362,27.431937,,,0
Bodrum Oasıs,,Cyprus Şehitleri Cad. Oasis Shopping Center 87 Z No: 113 Gumbet - Bodrum,,Muğla,,,Turkey,,37.041386,27.411922,,,0
Divided,,İzzet Baysal Cad. No: 19 Becikoglu Shopping Center,,Divided,,,Turkey,,40.73053,31.602363,,,0
Bornova Küçükpark,,Kazim Dirik Mah.Ankara Cad.No:251 Bornova Küçükpark,,İzmir,,,Turkey,,38.458954,27.213059,,,0
Bostanci Paragon,,Eminali Pasa Street C Block No: 126 / A Bostanci Kadikoy,,Istanbul Asia,,,Turkey,,40.955744,29.099592,,,0
Umraniye,,Atatürk Mah.Alemdağ Cad.No:40/1 Ümraniye,,Istanbul Asia,,,Turkey,,41.024608,29.08686,,,0
Bursa Carrefour,,Carrefour AVM B 153 Nilufer,,Bursa,,,Turkey,,40.21083,28.995846,,,0
Bursa Fatih Sultan Mehmet,,Fethiye Mah.Fatih Sultan Mehmet Bulvarı No: 157 / 2_3 Nilüfer,,Bursa,,,Turkey,,40.228307,28.980328,,,0
Bursa Görükle,,Atatürk Cad.Nurettin Şenol Apt. 3 No: 69 Görükle Nilüfer,,Bursa,,,Turkey,,40.225567,28.847624,,,0
City Square,,Santral Garage District Cyprus Martyrs Street No: Y-10 City Square Shopping Center Osmangazi,,Bursa,,,Turkey,,40.195878,29.060255,,,0
Bursa Korupark,,Mudanya Road 9.km Korupark Shopping Center No: 201 Emek Osmangazi,,Bursa,,,Turkey,,40.252125,28.957771,,,0
Bursa Nilufer,,Ihsaniye Mah.İzmir Yolu No: 98 Nilüfer,,Bursa,,,Turkey,,40.212381,28.98842,,,0
Caddebostan Beach,,Erenköy Mah.Cemil Topuzlu Cad.Ciftehavuzlar Sok.Caddebostan Migros Yanı Kadıköy,,Istanbul Asia,,,Turkey,,40.964147,29.06454,,,0
Capacity,,Zeytinlik Mah.Fişekhane Caddesi No: 7 Capacity Avm,,Istanbul Europe,,,Turkey,,40.977548,28.870674,,,0
Capitol Avm,,Capitol Avm No: 13/14 Üsküdar,,Istanbul Asia,,,Turkey,,41.020787,29.039685,,,0
Carousel,,Carousel Shopping Center 2K1 Halit Ziya Uşaklıgil C.No: 1 Bakırköy,,Istanbul Europe,,,Turkey,,40.977908,28.872843,,,0
Kozyatağı Carrefour,,Carrefour Tic.Mer.A.Ş. Hal Building Yanı Eski Genoto Ars.81120 İçerenköy,,Istanbul Asia,,,Turkey,,40.978712,29.100966,,,0
Heaven,,Cennet Mh. Hürriyet Cad.No:60 Small Drawer,,Istanbul Europe,,,Turkey,,40.990284,28.780056,,,0
Cevahir,,Buyukdere Caddesi Cevahir Shopping Mall,,Istanbul Europe,,,Turkey,,41.064081,28.992436,,,0
Çadırlıköşk,,Şemsettin Günaltay Cad. No: 129 Erenköy,,Istanbul Asia,,,Turkey,,40.970953,29.083472,,,0
Canakkale,,Kipa Shopping Center Barbaros Mah.Atatürk Cad.No: 245,,Canakkale,,,Turkey,,40.113696,26.408712,,,0
Çayyolu Tansaş,,Prof.Dr.Ahmet Taner Kışlalı Mah.8.Cad No: 179/4 Tansaş Yanı Ümit Village / Çayyolu,,Ankara,,,Turkey,,39.881917,32.685471,,,0
çekmeköy,,Mimar Sinan Mah.Mimar Sinan Cad.No: 218 / B Çekmeköy,,Istanbul Asia,,,Turkey,,41.032896,29.174402,,,0
Cerkezkoy Kipa,,"Mustafa Kemal Mahallesi, Kadife Street No: 1 Kipa Avm No: 7-8-9 Çerkezköy",,Tekirdag,,,Turkey,,41.296263,28.00004,,,0
Çeşme Marina,,"Musalla Mh 1016 Sok, No:2 Dk 1/1 Marina /Cesme",,İzmir,,,Turkey,,38.32194,26.302991,,,0
Çırpıcı,,New London Asfaltı.Çırpıcı Place Shell Ben.İst. Merter,,Istanbul Europe,,,Turkey,,41.008199,28.896671,,,0
Corlu Advantage,,"Avantaj Outlets Çorlu, Cerkezkoy Road, Yulafliköyü Mevkii",,Tekirdag,,,Turkey,,41.203583,27.8417,,,0
Corlu Kipa,,Muhittin Mah.Omurtak Street Istanbul Part No: 136 Corlu / Kipa,,Tekirdag,,,Turkey,,41.150912,27.832148,,,0
Inner,,Dalaman Airport International Terminal Departure Floor Dalaman,,Muğla,,,Turkey,,36.717431,28.78687,,,0
Deepo Avm,,Sinan Mah.Away Against No: 371 Altınova,,Antalya,,,Turkey,,36.92006,30.786191,,,0
Denizli Forum,,Doğan Demircioğlu Cad.Forum Avm Democracy Square No: 10 Çamlık,,Denizli,,,Turkey,,37.753805,29.089243,,,0
Denizli Sumerpark,,Sümer Mahallesi Old Cal Cad. No: 1 Sümerpark Shopping Center Ground Floor No: 132 - 164,,Denizli,,,Turkey,,37.789918,29.090141,,,0
deeply,,Deniz Mah.Ergenekon Cad.No:2 Derince Kipa Avm Kocaeli,,Kocaeli,,,Turkey,,40.758456,29.849829,,,0
Didim,,Efeler Mahallesi Atatürk Bulvarı No: 77C / B Didim,,Intellectual,,,Turkey,,37.365025,27.270785,,,0
Diyarbakir,,Behind Diyarbakir Municipality Migros İnside,,Diyarbakir,,,Turkey,,37.920671,40.23314,,,0
Diyarbakir 2,,Urfa Yolu 1.Km Emek Cad.Kavşağı Mega Center Shopping Center Floor: 2 No: 4,,Diyarbakir,,,Turkey,,37.931463,40.190885,,,0
Doğuş Power Center,,Ahi Evren Cad.Cömlekli Sok.Atatürk Oto Sanayi Sitesi Service Road No: 1/25 Maslak,,Istanbul Europe,,,Turkey,,41.114789,29.021031,,,0
Edirne Kipa,,Station Mah.Talatpaşa Cad.No:23 Kat 2 Kipa Avm,,Edirne,,,Turkey,,41.655413,26.586601,,,0
Elazığ Merkez,,Culture District Ataturk Caddesi A Blok No: 18 Ground Floor,,Elazig,,,Turkey,,38.675227,39.210184,,,0
Eregli,,Ereğli A.V.M. Burger King Eregli A.V.M. Erdemir Cad.No:160 Ereğli,,Zonguldak,,,Turkey,,41.272293,31.436525,,,0
Esenler,,Nene Hatun Mah. Davutpaşa Cad. No: 52 Esenler,,Istanbul Europe,,,Turkey,,41.034718,28.88473,,,0
Flat,,İnönü Mah.Doğan Araslı Boulevard No: 90 Esenyurt,,Istanbul Europe,,,Turkey,,41.023724,28.686243,,,0
Eskisehir,,Hasan Polatkan Boulevard Başan Sokak Vişnelik Mevkii (Migros Yanı),,Eskisehir,,,Turkey,,39.765998,30.508931,,,0
Eskisehir Islands,,Porsuk Boulevard No: 13 Beyond Migros,,Eskisehir,,,Turkey,,39.777079,30.516179,,,0
Eskisehir Espark,,Eski Bağlar Mah.University Cad.No:21 26170 Espark,,Eskisehir,,,Turkey,,39.782868,30.5111,,,0
Eskisehir Winged Avm,,Winged Shopping Center İsmet İnönü Cad.No:57_23,,Eskisehir,,,Turkey,,39.779126,30.513703,,,0
Eskisehir Neo Avm,,Çamlıca Mah.Gülperi Sok No: 1/158 Neo Shopping Center,,Eskisehir,,,Turkey,,39.780714,30.478578,,,0
Eyüp Meydan,,"İslam Bey Neighborhood, Eyüp Boulevard No: 141 / A Eyüp",,Istanbul Europe,,,Turkey,,41.0466,28.932504,,,0
Eyüp Flat Office,,Otakçılar Cad.No:60 Flatofis Ground Floor N0: Z-003 Store No Eyüp,,Istanbul Europe,,,Turkey,,41.038278,28.932502,,,0
Fethiye,,Cumhuriyet Mah.Atatürk Cad.No:52/A Facing of Fethiye Beledeyise Fethiye,,Muğla,,,Turkey,,36.622079,29.110493,,,0
Flyin,,Flyinn Shopping Center Harman Sokak No: 57/48 Florya,,Istanbul Europe,,,Turkey,,40.973359,28.804255,,,0
Forum Bornova,,Forum Bornova Shopping Center Kazim Dirik Mah.372 Street D Block 26/109 Bornova,,İzmir,,,Turkey,,38.449869,27.210261,,,0
Fulya Real,,About Yeten Street No: 14 Real Mall Besiktas,,Istanbul Europe,,,Turkey,,41.054201,28.999715,,,0
Galleria,,"Galleria Shopping Mall.Sahilyolu, Ataköy 34710 No: C1B0338",,Istanbul Europe,,,Turkey,,40.974787,28.869548,,,0
Gaziantep,,"Yavuzeli Cad. M - 1 Shopping Mall on the Arabian Sea, Şehitkamil",,Gaziantep,,,Turkey,,37.105393,37.401569,,,0
Gaziantep Dora Plaza,,Karataş Mah.No:394.Cadde Dora Business Center No: 3 Gaziantep / Şahinbey,,Gaziantep,,,Turkey,,37.01865,37.33959,,,0
Gaziantep Drive,,Sarıgüllük Mah.Fevzi Çakmak Boulevard No: 29 Şehitkamil,,Gaziantep,,,Turkey,,37.067611,37.360728,,,0
Let's play p,,Sarıgüllük Mah.İshak Rafet İşitmen Cad.Sankopark Avm Şehitkamil,,Gaziantep,,,Turkey,,37.063103,37.360984,,,0
Eyup,,Bağlarbaşı Mah.Bağlarbaşı Caddesi No: 8 Gaziosmanpaşa,,Istanbul Europe,,,Turkey,,41.059765,28.913774,,,0
Gebze Center Avm,,Tatlikuyu Neighborhood Gebze Center Avm Gebze,,Kocaeli,,,Turkey,,40.795821,29.441736,,,0
Gebze Bazaar,,Hacı Halil Neighborhood Station Street No: 25 Gebze,,Kocaeli,,,Turkey,,40.79689,29.433584,,,0
Göztepe,,Çemenzar Mah.Fahrettin Kerim Gökay Cad.No:2 Göztepe,,Istanbul Asia,,,Turkey,,40.982009,29.067354,,,0
Gümbet,,Ayaz Cad.N0: 45 Bodrum / Muğla_Gümbet,,Muğla,,,Turkey,,37.032444,27.404342,,,0
Ring Migros,,Atakent Neighborhood 1.Sardunya Street No7 / A Atakent-Halkalı,,Istanbul Europe,,,Turkey,,41.056966,28.781517,,,0
Airport Pas. Front.,,Atatürk Airport New International Terminal Before Passport Hanging Floor Yeşilköy,,Istanbul Europe,,,Turkey,,40.976695,28.816990,,,0
Airport Pas.Son.,,Atatürk Airport New International Terminal Post Passport Yeşilköy,,Istanbul Europe,,,Turkey,,40.976939,28.819740,,,0
History,,Vatan Cad.No:2 Fatih Culture Avm (History) Fatih,,Istanbul Europe,,,Turkey,,41.014798,28.944827,,,0
İskenderun Primall,,Numune Mah. Eyup Sultan Street No: 1 Prime Mall 2nd Floor Number 9 İskenderun 2nd Floor Number 9,,Hatay,,,Turkey,,36.574967,36.161555,,,0
Isparta,,Kutlubey Mah.106 Cad.N0: 22 Governor's Office In Atatürk Park,,Isparta,,,Turkey,,37.764797,30.557842,,,0
Isparta İyaş Avm,,Bahçelievler Mahallesi 56. Cad İyaş Park Life Center No: 13,,Isparta,,,Turkey,,37.782106,30.544372,,,0
Ikitelli,,İkitelli Organize Sanayi Bölgesi Atatürk Boulevard No: 1 İkitelli,,Istanbul Europe,,,Turkey,,41.067633,28.810772,,,0
İncirli-Shell,,İncirli Cad. No:84 İncirli - Shell Bakırköy,,Istanbul Europe,,,Turkey,,40.990859,28.87087,,,0
inegöl,,Osmaniye Mah. Altay Cad No: 2 A Block 1079 İnegöl,,Bursa,,,Turkey,,40.084156,29.510051,,,0
Istanbul Forum Bayrampaşa,,Forum İstanbul Kocatepe Mah.Paşa Cad.No:Sf50 B.Paşa,,Istanbul Europe,,,Turkey,,41.045972,28.898962,,,0
İstinye Park AVM,,Pınar Mah .İstinye Bayırı Cad.İstinye Park A.V.M  No:255/1 İstinye,,Istanbul Europe,,,Turkey,,41.110412,29.032372,,,0
Steward Champion,,Istinye Mah. Çayır Sk. Champ. Inner Stance,,Istanbul Europe,,,Turkey,,41.117897,29.049633,,,0
Adnan Menderes PÖ (Seasonal Closed),,Adnan Menderes Airport International Terminal Before Passport,,İzmir,,,Turkey,,38.295191,27.147649,,,0
Adnan Menderes Domestic Line,,Adnan Menderes Airport New Domestic Terminal,,İzmir,,,Turkey,,38.295192,27.14775,,,0
Bostanlı,,Cengiz Topel Cad.No:20/A Karsiyaka Bostanlı,,İzmir,,,Turkey,,38.459041,27.093447,,,0
Buca,,Menderes Cad.No 61/1  Buca,,İzmir,,,Turkey,,38.389754,27.166998,,,0
Carrefour,,Carrefour - Sa Trade Center Yalı Mah. 6522 Sokak No: 3 - Fc4 Mavişehir,,İzmir,,,Turkey,,38.478356,27.07436,,,0
Çigli Koçtaş,,Caher Dudayev Petrol Ofisi Facility Koçtaş Avm No: 7/101 Çiğli / Koçtaş,,İzmir,,,Turkey,,38.477461,27.066541,,,0
Forbes,,Forbes Cad. 313 Sok.No:8/10 Buca,,İzmir,,,Turkey,,38.388532,27.161066,,,0
Gaziemir,,Atif Bey Mah 5 Sok No:50 /B Gaziemir,,İzmir,,,Turkey,,38.323791,27.132701,,,0
Girne,,Bahriye Üçok Mah. Girne Blv. No: 144 / A,,İzmir,,,Turkey,,38.463507,27.108682,,,0
Güzelyali,,Mustafa Kemal Sahil Bulvarı No: 793 / 8-15 -16 Üçkuyular Konak,,İzmir,,,Turkey,,38.399582,27.078531,,,0
Karsiyaka Bazaar,,Kemal Pasha Cd. 1717 Sk. No: 110 / A Karşıyaka,,İzmir,,,Turkey,,38.456708,27.117666,,,0
Ozkanlar,,Kazim Dirik Mah.232.Sok.No:13 Asil Ege2 Apt.İzmir / Bornova,,İzmir,,,Turkey,,38.460796,27.201602,,,0
Do not,,Ssk Blocks 9 / B Konak Square Mansion,,İzmir,,,Turkey,,38.416105,27.1281,,,0
İzmit Dolphin,,Sanayi Cad.Berk Sokak No: 1/62 Dolphin Shopping Center,,Kocaeli,,,Turkey,,40.764586,29.940533,,,0
Izmit Gölcük,,Maraşel Fevzi Çakmak Cad.No:20 Gölcük,,Kocaeli,,,Turkey,,40.721311,29.819954,,,0
Izmit Kocaeli,,Özbek Gıda San.ve Tic.Ltd.Şirketi.Ömerağa Mah.Cumhuriyet Cad.No:128/A,,Kocaeli,,,Turkey,,40.763537,29.92928,,,0
İzmit Ncity,,Ncity A.V.M.Oramiral Salim Dervişoğlu Street Fair,,Kocaeli,,,Turkey,,40.760741,29.934072,,,0
İzmit Real,,Körfez Mah. İzzet Uzunel Sokak No: 23 9C 41040,,Kocaeli,,,Turkey,,40.763187,29.948581,,,0
Kadıköy Altıyol,,Söğütözü Cad.No:86/A Altıyol / Kadıköy,,Istanbul Asia,,,Turkey,,40.990707,29.029733,,,0
Kadıköy Mühürdar,,Caferağa Mah.Mühürdar Cad.No:39,,Istanbul Asia,,,Turkey,,40.989252,29.023828,,,0
Kadir Has Center,,Kadirhas Shoppıng Center Bahçelievler Mah.Mehmetçik Sk.No:1 Bahçelievler,,Istanbul Europe,,,Turkey,,40.996023,28.86392,,,0
