store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
,,Favoritenstraße 89,,Wien,,1100,Austria,01/6077071,48.179886000000,16.376097000000,Monday:07:00 - 00:00;Tuesday:07:00 - 00:00;Wednesday:07:00 - 00:00;Thursday:07:00 - 00:00;Friday:07:00 - 01:00;Saturday:07:00 - 01:00;Sunday:08:00 - 00:00;holiday:08:00 - 00:00;,,0
,,Anton Hermann Street 1,,Feldkirchen,,8073,Austria,06649683700,47.008327000000,15.439795000000,Monday:06:00 - 00:00;Tuesday:06:00 - 00:00;Wednesday:06:00 - 00:00;Thursday:06:00 - 00:00;Friday:06:00 - 01:00;Saturday:06:00 - 01:00;Sunday:06:00 - 00:00;holiday:06:00 - 00:00;,,0
,,EKZ Passage 22 / Bundesstraße 24,,Rankweil,,6830,Austria,05522/82622,47.273491000000,9.616135000000,Monday:07:00 - 01:00;Tuesday:07:00 - 01:00;Wednesday:07:00 - 01:00;Thursday:07:00 - 01:00;Friday:07:00 - 01:00;Saturday:07:00 - 01:00;Sunday:07:00 - 01:00;holiday:07:00 - 01:00;,,0
,,Copy to Clipboard,,Schwechat,,2320,Austria,01/707 87 45,48.135448000000,16.492992000000,Monday:06:30 - 01:00;Tuesday:06:30 - 01:00;Wednesday:06:30 - 01:00;Thursday:06:30 - 01:00;Friday:06:30 - 01:00;Saturday:06:30 - 01:00;Sunday:06:30 - 01:00;holiday:06:30 - 01:00;,,0
,,Rautenweg 2,,Wien,,1220,Austria,0664/9131012,48.264122000000,16.455765000000,Monday:07:00 - 00:00;Tuesday:07:00 - 00:00;Wednesday:07:00 - 00:00;Thursday:07:00 - 00:00;Friday:07:00 - 01:00;Saturday:07:00 - 01:00;Sunday:07:00 - 00:00;holiday:07:00 - 00:00;,,0
,,Südtirolerplatz Shop 2.125 / Shop 1.132,,Wien,,1040,Austria,01 5032288,48.186115000000,16.375025000000,Monday:05:30 - 00:30;Tuesday:05:30 - 00:30;Wednesday:05:30 - 00:30;Thursday:05:30 - 00:30;Friday:05:30 - 00:30;Saturday:05:30 - 00:30;Sunday:05:30 - 00:30;holiday:05:30 - 00:30;,,0
,,Albert-Schweitzer-Gasse 6 (Auhofcenter),,Wien,,1140,Austria,01/979 18 33,48.207066000000,16.221163000000,Monday:08:00 - 21:00;Tuesday:08:00 - 21:00;Wednesday:08:00 - 21:00;Thursday:08:00 - 21:00;Friday:08:00 - 22:00;Saturday:08:00 - 21:00;Sunday:12:00 - 21:00;holiday:closed;,,0
,,Gz Plaz 1,,Wien,,2201,Austria,0664 / 8866 2774,48.343727000000,16.461468000000,Monday:08:30 - 19:30;Tuesday:08:30 - 19:30;Wednesday:08:30 - 19:30;Thursday:08:30 - 20:00;Friday:08:30 - 20:00;Saturday:08:00 - 19:00;Sunday:closed;holiday:closed;,,0
,,Landstraßer Hauptstraße 1b (station Wien Mitte),,Wien,,1030,Austria,01 / 710 17 25,48.206345000000,16.384773000000,Monday:06:00 - 00:00;Tuesday:06:00 - 00:00;Wednesday:06:00 - 00:00;Thursday:06:00 - 00:00;Friday:06:00 - 00:30;Saturday:06:00 - 00:30;Sunday:06:00 - 00:00;holiday:06:00 - 00:00;,,0
,,SCS Food Plaza Entrance 9,,Vösendorf,,2334,Austria,01/699 83 83 11,48.108704000000,16.318531000000,Monday:08:30 - 19:30;Tuesday:08:30 - 19:30;Wednesday:08:30 - 19:30;Thursday:08:30 - 21:00;Friday:08:30 - 19:30;Saturday:08:30 - 19:00;Sunday:closed;holiday:closed;,,0
,,Radingdorf 11,,Unterweitersdorf,,4210,Austria,07236 20 651,48.359712000000,14.480291000000,Monday:07:00 - 23:00;Tuesday:07:00 - 23:00;Wednesday:07:00 - 23:00;Thursday:07:00 - 23:00;Friday:07:00 - 01:00;Saturday:07:00 - 01:00;Sunday:08:00 - 23:00;holiday:08:00 - 23:00;,,0
,,Commercial street 4,,Parndorf,,7111,Austria,02166/22642,47.979939000000,16.849890000000,Monday:09:00 - 20:00;Tuesday:09:00 - 20:00;Wednesday:09:00 - 20:00;Thursday:09:00 - 20:00;Friday:09:00 - 21:00;Saturday:08:30 - 18:30;Sunday:closed;holiday:closed;,,0
,,Business Street 7,,Mondsee,,5310,Austria,06232/203680,47.859203000000,13.332223000000,Monday:07:00 - 01:00;Tuesday:07:00 - 01:00;Wednesday:07:00 - 01:00;Thursday:07:00 - 01:00;Friday:07:00 - 01:00;Saturday:00:00 - 00:00;Sunday:00:00 - 00:00;holiday:07:00 - 01:00;,,0
,,Airport Vienna Object 115,,Schwechat / Vienna,,1300,Austria,0664 / 887 180 43,48.119686000000,16.562231000000,Monday:00:00 - 24:00;Tuesday:00:00 - 24:00;Wednesday:00:00 - 24:00;Thursday:00:00 - 24:00;Friday:00:00 - 24:00;Saturday:00:00 - 24:00;Sunday:00:00 - 24:00;holiday:00:00 - 24:00;,,0
,,Copy to Clipboard,,Klagenfurt,,9020,Austria,0676 898 388 803,46.626633000000,14.308836000000,Monday:06:30 - 23:00;Tuesday:06:30 - 23:00;Wednesday:06:30 - 23:00;Thursday:06:30 - 23:00;Friday:06:30 - 24:00;Saturday:06:30 - 24:00;Sunday:08:00 - 23:00;holiday:08:00 - 23:00;,,0
,,Taborstrasse 39,,Wien,,1020,Austria,01/212 62 59,48.219345000000,16.380783000000,Monday:07:00 - 01:00;Tuesday:07:00 - 01:00;Wednesday:07:00 - 01:00;Thursday:07:00 - 01:00;Friday:07:00 - 01:00;Saturday:07:00 - 01:00;Sunday:07:00 - 01:00;holiday:07:00 - 01:00;,,0
,,Folk festivity 4,,Rohrbach,,4150,Austria,07289 209260,48.566971000000,13.980963000000,Monday:08:00 - 23:00;Tuesday:08:00 - 23:00;Wednesday:08:00 - 23:00;Thursday:08:00 - 00:00;Friday:08:00 - 01:00;Saturday:08:00 - 01:00;Sunday:08:00 - 23:00;holiday:08:00 - 23:00;,,0
,,Amrasetracks street 56b,,Innsbruck,,6020,Austria,0512/34 85 92,47.262863000000,11.428589000000,Monday:07:00 - 01:00;Tuesday:07:00 - 01:00;Wednesday:07:00 - 01:00;Thursday:07:00 - 01:00;Friday:07:00 - 03:00;Saturday:07:00 - 03:00;Sunday:08:00 - 01:00;holiday:08:00 - 01:00;,,0
,,Dr. Karl Renner Str. 58,,Enns,,4470,Austria,07223 81630,48.216324000000,14.459326000000,Monday:08:00 - 00:00;Tuesday:08:00 - 00:00;Wednesday:08:00 - 00:00;Thursday:08:00 - 00:00;Friday:08:00 - 01:00;Saturday:08:00 - 01:00;Sunday:08:00 - 00:00;holiday:08:00 - 00:00;,,0
,,Europastraße 2,,Gleisdorf,,8200,Austria,0664 8466789,47.108345000000,15.703378000000,Monday:07:00 - 00:00;Tuesday:07:00 - 00:00;Wednesday:07:00 - 00:00;Thursday:07:00 - 00:00;Friday:07:00 - 01:00;Saturday:07:00 - 01:00;Sunday:07:00 - 00:00;holiday:07:00 - 00:00;,,0
,,"Mariahilfer Gürtel OG 1.26, Westbahnhof",,Wien,,1150,Austria,01/962 1597 11,48.196194000000,16.338154000000,Monday:05:00 - 01:00;Tuesday:05:00 - 01:00;Wednesday:05:00 - 01:00;Thursday:05:00 - 01:00;Friday:05:00 - 01:00;Saturday:05:00 - 01:00;Sunday:05:00 - 01:00;holiday:05:00 - 01:00;,,0
,,South Tyrolean Square 5,,Innsbruck,,6020,Austria,0512/560 210,47.263535000000,11.400387000000,Monday:06:00 - 00:00;Tuesday:06:00 - 00:00;Wednesday:06:00 - 00:00;Thursday:06:00 - 00:00;Friday:06:00 - 00:00;Saturday:06:00 - 00:00;Sunday:06:00 - 00:00;holiday:06:00 - 00:00;,,0
,,Flower Road 13-23,,Linz,,4040,Austria,0664 / 886 627 91,48.314205000000,14.283233000000,Monday:07:00 - 21:00;Tuesday:07:00 - 21:00;Wednesday:07:00 - 21:00;Thursday:07:00 - 22:00;Friday:07:00 - 22:00;Saturday:08:00 - 22:00;Sunday:11:00 - 21:00;holiday:11:00 - 21:00;,,0
,,Horner Str. 101a,,Stockerau,,2000,Austria,02266 / 619 11,48.388966000000,16.179567000000,Monday:07:00 - 00:00;Tuesday:07:00 - 00:00;Wednesday:07:00 - 00:00;Thursday:07:00 - 00:00;Friday:07:00 - 01:00;Saturday:07:00 - 01:00;Sunday:07:00 - 00:00;holiday:07:00 - 00:00;,,0
,,"Museumstraße 38, in the shopping center Sillpark",,Innsbruck,,6020,Austria,0512 / 563 233,47.266159000000,11.403652000000,Monday:08:00 - 19:00;Tuesday:08:00 - 19:00;Wednesday:08:00 - 19:00;Thursday:08:00 - 19:00;Friday:08:00 - 20:00;Saturday:08:00 - 18:00;Sunday:closed;holiday:closed;,,0
,,Bahnhofplatz 1,,Pölten,,3100,Austria,02742 / 356 434-0,48.207863000000,15.625860000000,Monday:06:00 - 23:00;Tuesday:06:00 - 23:00;Wednesday:06:00 - 23:00;Thursday:06:00 - 23:00;Friday:06:00 - 00:00;Saturday:06:00 - 00:00;Sunday:08:00 - 23:00;holiday:08:00 - 23:00;,,0
,,Handelskai 92 (Rivergate),,Wien,,1200,Austria,01/330 00 42-11,48.242016000000,16.384235000000,Monday:06:00 - 01:00;Tuesday:06:00 - 01:00;Wednesday:06:00 - 01:00;Thursday:06:00 - 01:00;Friday:06:00 - 02:00;Saturday:06:00 - 02:00;Sunday:06:00 - 01:00;holiday:06:00 - 01:00;,,0
,,Raststation A5 Süd,,Hochleithen,,2123,Austria,02245/89 100,48.425789000000,16.548662000000,Monday:05:00 - 01:00;Tuesday:05:00 - 01:00;Wednesday:05:00 - 01:00;Thursday:05:00 - 01:00;Friday:05:00 - 01:00;Saturday:05:00 - 01:00;Sunday:05:00 - 01:00;holiday:05:00 - 01:00;,,0
,,IGP 19 South / A2 (exit Völkermarkt Ost),,Völkermarkt,,9100,Austria,0676 898 388 816,46.682495000000,14.676446000000,Monday:06:30 - 00:00;Tuesday:06:30 - 00:00;Wednesday:06:30 - 00:00;Thursday:06:30 - 00:00;Friday:06:30 - 00:00;Saturday:06:30 - 00:00;Sunday:06:30 - 00:00;holiday:06:30 - 00:00;,,0
,,The,,Telfs,,6410,Austria,05262 / 63 231,47.307365000000,11.075742000000,Monday:07:00 - 01:00;Tuesday:07:00 - 01:00;Wednesday:07:00 - 01:00;Thursday:07:00 - 01:00;Friday:07:00- 02:00;Saturday:07:00- 02:00;Sunday:07:00 - 01:00;holiday:07:00 - 01:00;,,0
,,"Bahnhofplatz 3-6, Linz main train station",,Linz,,4020,Austria,0664 / 88662792,48.290535000000,14.291190000000,Monday:05:30 - 00:00;Tuesday:05:30 - 00:00;Wednesday:05:30 - 00:00;Thursday:05:30 - 00:00;Friday:05:30 - 01:00;Saturday:05:30 - 01:00;Sunday:05:30 - 00:00;holiday:05:30 - 00:00;,,0
,,Berglund Center 5,,Bergland,,3254,Austria,07412 / 54 900,48.160995000000,15.106426000000,Monday:07:00 - 00:00;Tuesday:07:00 - 00:00;Wednesday:07:00 - 00:00;Thursday:07:00 - 00:00;Friday:07:00 - 01:00;Saturday:07:00 - 01:00;Sunday:07:00 - 00:00;holiday:07:00 - 00:00;,,0
,,"Pilgrambrücke 1, U4 Pilgramgasse",,Wien,,1050,Austria,,48.192844000000,16.354597000000,Monday:06:30 - 02:00;Tuesday:06:30 - 02:00;Wednesday:06:30 - 02:00;Thursday:06:30 - 02:00;Friday:06:30 - 04:00;Saturday:07:00 - 04:00;Sunday:08:00 - 00:30;holiday:08:00 - 00:30;,,0
,,Ennsling 160,,Ennstal,,8967,Austria,03686 / 28 505,47.411583000000,13.779279000000,Monday:07:00 - 00:00;Tuesday:07:00 - 00:00;Wednesday:07:00 - 00:00;Thursday:07:00 - 00:00;Friday:07:00 - 00:00;Saturday:07:00 - 00:00;Sunday:07:00 - 00:00;holiday:07:00 - 00:00;,,0
,,Arenaplatz 5,,Mattersburg,,7210,Austria,02626 / 620 84 21,47.747456000000,16.419722000000,Monday:07:00 - 00:00;Tuesday:07:00 - 00:00;Wednesday:07:00 - 00:00;Thursday:07:00 - 00:00;Friday:07:00 - 02:00;Saturday:07:00 - 02:00;Sunday:08:00 - 00:00;holiday:08:00 - 00:00;,,0
,,Asamerstraße 1,,Vorchdorf,,4655,Austria,7614/200 40,48.010811000000,13.923459000000,Monday:07:00 - 00:00;Tuesday:07:00 - 00:00;Wednesday:07:00 - 00:00;Thursday:07:00 - 00:00;Friday:07:00 - 00:00;Saturday:07:00 - 00:00;Sunday:08:00 - 00:00;holiday:08:00 - 00:00;,,0
,,Haidcenter Top 70/Ikeaplatz 4,,Menstruation,,4053,Austria,0722/979309,48.195583000000,14.247057000000,Monday:09:00 - 20:00;Tuesday:09:00 - 20:00;Wednesday:09:00 - 20:00;Thursday:09:00 - 20:00;Friday:09:00 - 20:00;Saturday:09:00 - 19:00;Sunday:closed;holiday:closed;,,0
,,"Str. 16, city park center",,Spittal / Drau,,9800,Austria,+43 4762 44168,46.797909000000,13.490932000000,Monday:09:00 - 19:00;Tuesday:09:00 - 19:00;Wednesday:09:00 - 19:00;Thursday:09:00 - 19:00;Friday:09:00 - 19:00;Saturday:09:00 - 18:00;Sunday:closed;holiday:closed;,,0
,,"South Tyroler Platz 13, Forum 1",,Salzburg,,5020,Austria,0662/4511540,47.813885000000,13.044674000000,Monday:05:30 - 00:00;Tuesday:05:30 - 00:00;Wednesday:05:30 - 00:00;Thursday:05:30 - 00:00;Friday:05:30 - 02:00;Saturday:05:30 - 02:00;Sunday:05:30 - 00:00;holiday:05:30 - 00:00;,,0
,,Professor Ferry Porsche Straße 4,,See,,5700,Austria,06542/72401,47.294678000000,12.794260000000,Monday:07:00 - 00:00;Tuesday:07:00 - 00:00;Wednesday:07:00 - 00:00;Thursday:07:00 - 00:00;Friday:07:00 - 00:00;Saturday:07:00 - 00:00;Sunday:08:00 - 00:00;holiday:08:00 - 00:00;,,0
,,Praterstern-Bahnhof Nord,,Wien,,1020,Austria,01/212 08 70-11,48.218086000000,16.391859000000,Monday:06:00-01:00;Tuesday:06:00-01:00;Wednesday:06:00-01:00;Thursday:06:00-01:00;Friday:06:00-02:00;Saturday:05:00-02:00;Sunday:05:00-01:00;holiday:05:00-02:00;,,0
,,Kinostraße 4,,Wals,,5071,Austria,0662/85 48 80,47.792801000000,12.991200000000,Monday:06:30 - 01:00;Tuesday:06:30 - 01:00;Wednesday:06:30 - 01:00;Thursday:06:30 - 01:00;Friday:06:30 - 02:00;Saturday:06:30 - 02:00;Sunday:07:00 - 01:00;holiday:07:00 - 01:00;,,0
,,Ostbahnstraße 3,,Graz,,8041,Austria,0664 / 969 16 81,47.040699000000,15.465200000000,Monday:08:00 - 20:00;Tuesday:08:00 - 20:00;Wednesday:08:00 - 20:00;Thursday:08:00 - 20:00;Friday:08:00 - 20:00;Saturday:08:00 - 18:30;Sunday:closed;holiday:closed;,,0
,,"Atrio Villach, Kärntnerstrasse 34",,Villach,,9500,Austria,04242/225 55 60,46.595455000000,13.836130000000,Monday:07:45 - 19:30;Tuesday:07:45 - 19:30;Wednesday:07:45 - 19:30;Thursday:07:45 - 19:30;Friday:07:45 - 19:30;Saturday:07:45 - 18:00;Sunday:closed;holiday:closed;,,0
,,Raststation Walserberg Süd,,Walserberg,,5071,Austria,+43 676 83489349,47.767899000000,12.948100000000,Monday:07:00 - 23:00;Tuesday:07:00 - 23:00;Wednesday:07:00 - 23:00;Thursday:07:00 - 23:00;Friday:07:00 - 00:00;Saturday:07:00 - 00:00;Sunday:07:00 - 23:00;holiday:07:00 - 23:00;,,0
,,Liesinger Platz 1,,Wien,,1230,Austria,01/865 29 64-11,48.135300000000,16.283300000000,Monday:06:30 - 00:00;Tuesday:06:30 - 00:00;Wednesday:06:30 - 00:00;Thursday:06:30 - 00:00;Friday:06:30 - 00:00;Saturday:08:00 - 00:00;Sunday:08:00 - 00:00;holiday:08:00 - 00:00;,,0
,,Carl Zuckmayerstraße 1,,Salzburg,,5020,Austria,0662 / 452 010 11,47.829395000000,13.057216000000,Monday:06:30 - 01:00;Tuesday:06:30 - 01:00;Wednesday:06:30 - 01:00;Thursday:06:30 - 01:00;Friday:06:30 - 02:00;Saturday:06:30 - 02:00;Sunday:07:00 - 01:00;holiday:07:00 - 01:00;,,0
,,Copy to Clipboard,,Wörgl,,6300,Austria,05332/705 54,47.482075000000,12.057398000000,Monday:06:30 - 01:00;Tuesday:06:30 - 01:00;Wednesday:06:30 - 01:00;Thursday:06:30 - 01:00;Friday:06:30 - 03:00;Saturday:06:30 - 03:00;Sunday:06:30 - 01:00;holiday:06:30 - 01:00;,,0
,,Plüddemanngasse 62,,Graz,,8010,Austria,0664 / 840 43 98,47.063942000000,15.464682000000,Monday:07:00 - 00:00;Tuesday:07:00 - 00:00;Wednesday:07:00 - 00:00;Thursday:07:00 - 00:00;Friday:07:00 - 00:00;Saturday:07:00 - 00:00;Sunday:07:00 - 00:00;holiday:07:00 - 00:00;,,0
