store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Rivesaltes,,C.Cial Roussillon North Coast,,Rivesaltes,,66600,France,04 11 60 00 66,42.77680904,2.910542968,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-23:00;saturday:11:00-23:00;,,0
Portet-Sur-Garonne,,7 boulevard de l'Europe,,Portet-Sur-Garonne,,31120,France,05 82 60 03 17,43.530522,1.403023062,sunday:11:00-22:00;monday:11:00-22:00;tuesday:11:00-22:00;wednesday:11:00-22:00;thursday:11:00-22:00;friday:11:00-23:00;saturday:11:00-23:00;,,0
Rochefort Quatre Anes,,Route of La Rochelle,,Rochefort,,17300,France,05 79 52 00 13,45.9603,-0.97823,sunday:11:00-22:30;monday:11:00-22:30;tuesday:11:00-22:30;wednesday:11:00-22:30;thursday:11:00-22:30;friday:11:00-22:30;saturday:11:00-22:30;,,0
Nantes Saint-Herblain,,299 route de Vannes,,Saint-Herblain,,44800,France,02 85 05 01 99 ,47.245305,-1.602033972,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-23:00;saturday:11:00-23:00;,,0
Dunkirk Grand Synthe,,CC Auchan Dunkirk Grande-Synthe,,Grande-Synthe,,59760,France,03 66 46 00 25,51.005508967213,2.284987062,sunday:11:00-22:00;monday:11:00-22:00;tuesday:11:00-22:00;wednesday:11:00-22:00;thursday:11:00-22:00;friday:11:00-23:00;saturday:11:00-23:00;,,0
Nîmes Beaucaire,,173 bis road of Beaucaire,,Nîmes,,30000,France,04 11 54 00 70,43.83716896,4.388808023,sunday:11:00-22:00;monday:11:00-22:00;tuesday:11:00-22:00;wednesday:11:00-22:00;thursday:11:00-22:00;friday:11:00-22:00;saturday:11:00-22:00;,,0
Lyon Saint-Priest,,2 rue Champ Dolin,,Saint-Priest,,69800,France,04 82 25 04 54 ,45.71339402,4.967758971,sunday:11:00-01:00;monday:11:00-00:00;tuesday:11:00-00:00;wednesday:11:00-00:00;thursday:11:00-00:00;friday:11:00-01:00;saturday:11:00-01:00;,,0
Tours les Atlantes,,C.Cial The Atlanteans,,Saint-Pierre-des-Corps,,37700,France,,47.380390566357,0.71550813602475,sunday:11:00-22:30;monday:09:00-22:30;tuesday:09:00-22:30;wednesday:09:00-22:30;thursday:09:00-22:30;friday:09:00-23:00;saturday:09:00-23:00;,,0
Valencia Flowers,,ZAC The Couleurs,,Valence,,26000,France,04 82 19 00 28,44.95213503,4.93033105,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-23:00;saturday:11:00-23:00;,,0
Frouard,,2 rue de Nerbevaux,,Frouard,,54390,France,03 57 93 00 77,48.74235802,6.150829986,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-00:00;saturday:11:00-00:00;,,0
Villeneuve d'Ascq,,Centre Commercial V2,,Villeneuve d'Ascq,,59650,France,03 66 48 03 78,50.61695672,3.130454106,sunday:11:00-22:00;monday:11:00-22:00;tuesday:11:00-22:00;wednesday:10:00-22:00;thursday:11:00-22:00;friday:11:00-22:00;saturday:11:00-22:00;,,0
The Ulis 2,,Shopping Center Ulis 2 Porte 3,,The Ulis,,91940,France,01 82 95 00 10 ,48.677004003942,2.1700229508102,sunday:11:00-22:00;monday:11:00-22:00;tuesday:11:00-22:00;wednesday:11:00-22:00;thursday:11:00-22:00;friday:11:00-22:00;saturday:11:00-22:00;,,0
Vannes Ploeren,,ZC Luscanen,,PLOEREN,,56880,France,02 30 78 00 26 ,47.661907995404,-2.7968690060225,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-23:00;saturday:11:00-23:00;,,0
New York City,,19 Quai des Belges,,Marseille,,13000,France,04 84 08 01 65 ,43.29522504,5.374511044,sunday:10:00-00:00;monday:10:00-00:00;tuesday:10:00-00:00;wednesday:10:00-00:00;thursday:10:00-00:00;friday:10:00-00:00;saturday:10:00-00:00;,,0
Arras,,ZAC Val de Scarpe - Sector of the Slaughterhouses,,Arras,,62000,France,03 66 51 00 29,50.29688603,2.782372997,sunday:11:00-22:30;monday:11:00-22:30;tuesday:11:00-22:30;wednesday:11:00-22:30;thursday:11:00-22:30;friday:11:00-23:30;saturday:11:00-23:30;,,0
Chambery Nord,,1433 avenue des Landiers,,Chambery,,73000,France,04 80 68 00 31,45.593970959482     ,5.8986390391306 ,sunday:11:00-01:00;monday:11:00-00:00;tuesday:11:00-00:00;wednesday:11:00-00:00;thursday:11:00-00:00;friday:11:00-01:00;saturday:11:00-01:00;,,0
Saint-Brieuc Langueux,,C. Cial Carrefour,,Langueux,,22360,France,02 30 62 00 07,48.496298004385,-2.725435,sunday:11:00-00:00;monday:11:00-00:00;tuesday:11:00-00:00;wednesday:11:00-00:00;thursday:11:00-00:00;friday:11:00-00:00;saturday:11:00-00:00;,,0
Arles Fourchon,,Commercial area Fourchon,,Arles,,13200,France,04 90 52 21 51,43.667168990262,4.6349789707598,sunday:11:00-22:00;monday:11:00-22:00;tuesday:11:00-22:00;wednesday:11:00-22:00;thursday:11:00-22:00;friday:11:00-23:00;saturday:11:00-23:00;,,0
Annecy Cran-Gevrier,,26 avenue du pont nine,,Cran-Gevrier,,74960,France,04 80 73 00 05     ,45.89676702,6.112037,sunday:11:00-00:00;monday:11:00-00:00;tuesday:11:00-00:00;wednesday:11:00-00:00;thursday:11:00-00:00;friday:11:00-00:00;saturday:11:00-00:00;,,0
Aire de Chartres Bois-Paris - Motorway A11,,Aire de Chartres Bois-Paris - Motorway A11,,Gasville-Oisème,,28300,France,0237316241,48.467257,1.57954,sunday:08:00-23:00;monday:08:00-23:00;tuesday:08:00-23:00;wednesday:08:00-23:00;thursday:08:00-23:00;friday:08:00-23:00;saturday:08:00-23:00;,,0
Paris Wagram,,7 Avenue de Wagram,,Paris,,75017,France,01 82 73 24 54,48.875297,2.295694,sunday:07:30-02:00;monday:07:30-02:00;tuesday:07:30-02:00;wednesday:07:30-02:00;thursday:07:30-02:00;friday:07:30-02:00;saturday:07:30-02:00;,,0
Grenoble Victor Hugo,,2 place Victor Hugo,,Grenoble,,38000,France,04 80 61 00 70,45.189456002064,5.7237779988157,sunday:11:00-00:30;monday:11:00-00:30;tuesday:11:00-00:30;wednesday:11:00-00:30;thursday:11:00-00:30;friday:11:00-01:00;saturday:11:00-01:00;,,0
Mantes Gate of Normandy,,7 rue Jean Ferrat,,Mantes-la-ville,,78711,France,01 82 85 00 02,48.980186,1.693109,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-23:00;saturday:11:00-23:00;,,0
Pontault-Combault The Pave,,Le Pavé of Pontault / RN4,,Pontault-Combault,,77340,France,01 82 74 00 24,48.7758643,2.602358063,sunday:11:00-00:00;monday:11:00-00:00;tuesday:11:00-00:00;wednesday:11:00-00:00;thursday:11:00-00:00;friday:11:00-01:00;saturday:11:00-01:00;,,0
Taverny,,CC The Doors of Taverny / ZAC de Boissy street Jean-Baptiste Clément,,Taverny,,95150,France,01 39 95 94 85,49.015565,2.223521,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-23:00;saturday:11:00-00:00;,,0
Berck,,Place-dit La Mollière / Angle of boulevard de Paris and RD 940,,Berck-sur-Mer,,62600,France,03 66 55 00 07,50.403224,1.595196,sunday:11:00-22:30;monday:11:00-22:30;tuesday:11:00-22:30;wednesday:11:00-22:30;thursday:11:00-22:30;friday:11:00-23:30;saturday:11:00-23:30;,,0
Dieppe,,ZAC Of The Belvedere,,Dieppe,,76200,France,02 35 84 83 50,49.910917033786,1.0774760213671,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-00:00;saturday:11:00-00:00;,,0
London Hotels,,23 Place de la Republique,,Paris,,75003,France,01 82 73 24 23,48.867806020505,2.3623760702385,sunday:11:00-00:00;monday:11:00-00:00;tuesday:11:00-00:00;wednesday:11:00-00:00;thursday:11:00-00:00;friday:11:00-02:00;saturday:11:00-02:00;,,0
Annemasse,,2 Route of Livron,,Annemasse,,74100,France,04 80 74 00 45,46.190907,6.250778,sunday:11:00-00:00;monday:11:00-00:00;tuesday:11:00-00:00;wednesday:11:00-00:00;thursday:11:00-00:00;friday:11:00-00:00;saturday:11:00-00:00;,,0
Bethune Bruay-La-Buissiere,,Park of the North Gate / Rue de la Libération,,Bruay La Buissiere,,62700,France,,50.492132,2.575099,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-00:00;saturday:11:00-00:00;,,0
Aix La Pioline,,Commercial Area La Pioline / RD9,,Aix en Provence,,13546,France,04 84 04 00 52 ,43.505126,5.396481,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-23:00;saturday:11:00-23:00;,,0
Caen Mondeville,,7 Chemin de la Cavée,,Mondeville,,14120,France,02 31 82 44 72,49.169634,-0.321841,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-00:00;saturday:11:00-00:00;,,0
Epinal,,ZAC Le Closel / Route de Reuxey (D46),,Epinal,,88000,France,03 72 06 00 17,48.195731004374,6.466310069561,sunday:11:00-11:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-00:00;saturday:11:00-00:00;,,0
Paris East Train Station,,93 boulevard de Strasbourg,,Paris,,75010,France,01 82 73 24 27,48.87613004,2.357705968,sunday:07:30-00:00;monday:07:30-00:00;tuesday:07:30-00:00;wednesday:07:30-00:00;thursday:07:30-00:00;friday:07:30-01:00;saturday:07:30-01:00;,,0
Marseille The Valentine,,Avenue Saint Menet / Crossing the Sablière,,Marseille,,13011,France,04 84 08 01 72,43.28978097,5.48013203,sunday:11:00-00:00;monday:11:00-00:00;tuesday:11:00-00:00;wednesday:11:00-00:00;thursday:11:00-00:00;friday:11:00-02:00;saturday:11:00-02:00;,,0
Antibes,,36 avenue Weisweiller / Angle route de Grasse,,Antibes,,06600,France,04 93 33 31 30,43.59881803,7.085841983,sunday:11:00-00:00;monday:11:00-00:00;tuesday:11:00-00:00;wednesday:11:00-00:00;thursday:11:00-00:00;friday:11:00-01:00;saturday:11:00-01:00;,,0
Pleasure,,"C.Cial Grand Pleasure, Avenue de Saint-Germain",,Pleasure,,78370,France,01 82 84 00 22 ,48.827079,1.957816035,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-00:00;saturday:11:00-00:00;,,0
Paris Bastille,,20 rue de la Roquette,,Paris,,75011,France,01 82 73 24 09,48.85380896,2.371030945,sunday:11:00-00:00;monday:11:00-00:00;tuesday:11:00-00:00;wednesday:11:00-00:00;thursday:11:00-02:00;friday:11:00-02:00;saturday:11:00-02:00;,,0
Tours Chambray,,36 rue de Joue,,Chambray-lès-Tours,,37170,France,02 45 93 00 42,47.33847402,0.7046800265,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-00:00;saturday:11:00-00:00;,,0
Torcy Bay 2,,Bay 2 Regional Shopping Center,,schoolboy,,77090,France,01 60 17 19 22,48.839058,2.66179,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-23:00;saturday:11:00-23:00;,,0
Toulon La Garde,,ZAC Saint Michel,,The guard,,83130,France,01 60 17 19 22,43.1387977,6.0189015,sunday:11:00-00:00;monday:11:00-00:00;tuesday:11:00-00:00;wednesday:11:00-00:00;thursday:11:00-00:00;friday:11:00-01:00;saturday:11:00-01:00;,,0
Lyon Croix-Rousse,,8 place de la Croix-Rousse,,Lyon,,69004,France,04 82 25 04 34,45.77593297,4.832152063,sunday:10:30-02:00;monday:10:30-01:00;tuesday:10:30-01:00;wednesday:10:30-01:00;thursday:10:30-01:00;friday:10:30-02:00;saturday:10:30-02:00;,,0
Evry 2,,172 places of the Terraces of Agora,,Evry,,91022,France,01 82 93 00 31,48.628452,2.428884,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-00:00;saturday:11:00-00:00;,,0
Soissons,,Archer roundabout,,Soissons,,02200,France,03 65 49 00 14,49.364856,3.310771,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-00:00;saturday:11:00-00:00;,,0
Trappes,,16 avenue Paul Vaillant Couturier,,Trappes,,78190,France, 01 82 84 01 35,48.7792752,2.0092494,sunday:11:00-01:00;monday:11:00-00:00;tuesday:11:00-00:00;wednesday:11:00-00:00;thursday:11:00-00:00;friday:11:00-01:00;saturday:11:00-01:00;,,0
Saint-Amand-les-Eaux,,Leclerc Shopping Center / North Rocade - Bas du Mont des Bruyères,,Saint-Amand-les-Eaux,,59230,France,03 66 50 00 41 ,50.43603104,3.440255059,sunday:11:00-00:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-00:00;saturday:11:00-00:00;,,0
Cholet,,169 rue de Lorraine,,Cholet,,49300,France,02 85 10 00 38,47.05552399,-0.8597580178,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-23:00;saturday:11:00-23:00;,,0
Paris Gold Door,,279 Avenue Daumesnil,,Paris,,75012,France,01 82 73 24 08 ,48.83572504,2.406611941,sunday:11:00-00:00;monday:11:00-00:00;tuesday:11:00-00:00;wednesday:11:00-00:00;thursday:11:00-00:00;friday:11:00-00:00;saturday:11:00-00:00;,,0
Saint-Etienne Monthieu,,DC Giant / Quarter Monthieu,,Saint Etienne,,42100,France,04 82 24 00 37,45.44289102,4.4194330343956 ,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-23:00;saturday:11:00-23:00;,,0
Carcassonne,,Place-dit La Treille / Red Bridge,,Carcassonne,,11000,France,04 11 48 00 49,43.234536978271,2.367188012115,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-23:00;saturday:11:00-23:00;,,0
Schweighouse,,Industrial Area Sand Area / 1 Place du Kleinfeld,,Schweighouse-sur-Moder,,67590,France,03 68 92 00 16,48.83188904,7.744338968,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-00:00;saturday:11:00-00:00;,,0
Limoges Feytiat,,ZI of Ponteix / Avenue of the Doors of Feytiat,,Feytiat,,87220,France,05 19 55 00 27,45.81767603,1.29519095,sunday:10:30-22:30;monday:10:30-22:30;tuesday:10:30-22:30;wednesday:10:30-22:30;thursday:10:30-22:30;friday:10:30-23:30;saturday:10:30-23:30;,,0
Dunkirk Flower Quay,,Flower Quay,,Dunkerque,,59240,France,03 66 46 00 23,51.03278398,2.393071057,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-00:00;saturday:11:00-00:00;,,0
Avrainville,,Rue Calmette and Guerin - Exchanger N20 / D19 / Lieu-dit Chemin des Postes,,Avrainville,,91630,France,01 82 92 00 11,48.574031528963,2.238878713297,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-00:00;saturday:11:00-00:00;,,0
Manosque,,63 rue des artisans,,Manosque,,04100,France,04 84 01 00 04,43.82218303,5.792693028,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-23:00;saturday:11:00-23:00;,,0
Sarrebourg Buhl-Lorraine,,Avenue de Gerome,,Buhl-Lorraine,,57400,France,03 72 03 00 06,48.736898,7.076071,sunday:10:30-23:00;monday:10:30-23:00;tuesday:10:30-23:00;wednesday:10:30-23:00;thursday:10:30-23:00;friday:10:30-00:00;saturday:10:30-00:00;,,0
Rennes Saint-Grégoire,,ZAC of the Auge de Pierre,,St. Gregory,,35760,France,02 30 71 00 70,48.134637995396,-1.6929029948818,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-23:30;saturday:11:00-23:30;,,0
Perpignan Cabestany,,1 James Watt Street,,Cabestany,,66330,France,04 11 60 00 57,42.6889146,2.9242028,sunday:11:00-00:00;monday:11:00-00:00;tuesday:11:00-00:00;wednesday:11:00-00:00;thursday:11:00-00:00;friday:11:00-00:00;saturday:11:00-00:00;,,0
Metz Technopole,,10 Boulevard de la solidarité,,Metz,,57070,France,03 72 00 00 56 ,49.1057352,6.2271962,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-00:00;saturday:11:00-00:00;,,0
Montpellier Saint-Aunès,,Ecoparc ZAC of Saint Antoine / 200 avenue of the Tamaris,,Saint-Aunès,,34130,France,04 11 57 01 76,43.651336022066,3.9832919559153,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-00:00;saturday:11:00-00:00;,,0
Lyon Pierre-Bénite,,Path of the mulberry trees,,Pierre-Benite,,69310,France,04 78 51 47 01,45.694899,4.825272,sunday:11:00-00:00;monday:11:00-00:00;tuesday:11:00-00:00;wednesday:11:00-00:00;thursday:11:00-00:00;friday:11:00-02:00;saturday:11:00-02:00;,,0
Grenoble Meylan,,51 rue de Carronnerie,,Meylan,,38240,France,04 76 18 02 95,45.200295,5.760167,sunday:11:00-02:00;monday:11:00-00:00;tuesday:11:00-00:00;wednesday:11:00-00:00;thursday:11:00-00:00;friday:11:00-02:00;saturday:11:00-02:00;,,0
